ACO_Num_2015,ageinmonths,savelossamt,savelosspct,mammoqualscore,numassignbenef,edvisits,totalvisits,pcpvisits,nursevisits,numpcps,numspecialists,saveflag,mammohilo,numnppacns,nptomdvisrat,ruralflag,totalvisq
A05496,27,"409,156.00",0.0106,46.74,4676,625,9614,4837,873,35,38,1,0,32,0.180483771,0,1
A05657,57,"4,179,176.00",0.0337,72.32,11591,729,10757,4983,1845,48,1,1,1,22,0.37025888,0,2
A05696,51,"-4,775,254.00",-0.0377,55.75,13477,672,9000,4683,756,61,13,0,1,24,0.161434978,0,1
A05872,57,"2,785,036.00",0.0238,82.06,12431,452,10875,3582,724,80,175,1,1,29,0.20212172,0,2
A05913,57,"-3,627,423.00",-0.0928,83.7,3900,787,11229,4197,1468,76,30,0,1,22,0.349773648,0,3
A05950,27,"-370,811.00",-0.0041,65.87,9299,1017,8783,2238,2203,119,188,0,1,89,0.984361037,1,0
A05967,51,"-632,562.00",-0.0092,63.2,8610,515,10323,4789,927,22,6,0,1,14,0.193568595,0,2
A06665,39,"-2,816,509.00",-0.0167,51.21,14882,639,12142,4974,438,64,185,0,1,22,0.088057901,0,3
A07004,39,"1,565,923.00",0.0249,62.15,6295,766,8131,3273,866,240,294,1,1,41,0.264589062,1,0
A07334,27,"-574,103.00",-0.0073,57.54,8615,778,9545,4316,667,28,43,0,1,11,0.154541242,0,1
A07386,39,"7,959,265.00",0.0949,68.85,9311,702,9328,3650,1628,130,124,1,1,52,0.446027397,0,1
A07425,39,"1,280,023.00",0.0084,57.71,12790,698,10165,3475,1758,93,414,1,1,85,0.505899281,1,2
A07433,27,"-1,304,519.00",-0.0054,61.6,29189,649,9273,3605,1407,140,257,0,1,148,0.390291262,0,1
A07527,39,"12,724,363.00",0.0453,54.84,21928,812,10572,5011,1064,119,97,1,1,62,0.212332868,1,2
A07620,39,"-686,673.00",-0.006,74.05,14169,620,9097,3252,901,307,223,0,1,73,0.277060271,0,1
A07663,57,"5,553,892.00",0.0696,81.42,7424,817,8451,4021,837,70,68,1,1,29,0.208157175,0,0
A07732,27,"3,569,955.00",0.0226,64.07,17595,639,9174,3280,991,95,427,1,1,88,0.302134146,0,1
A07769,27,"6,744,429.00",0.0713,62.91,7252,664,12604,5965,378,50,86,1,1,25,0.063369656,0,3
A07870,51,"37,105,241.00",0.0842,80.74,43959,497,11431,4607,800,107,34,1,1,35,0.173648795,0,3
A07886,39,"-6,797,819.00",-0.0374,57.8,20592,964,9164,3667,2155,359,908,0,1,313,0.587673848,0,1
A08181,39,"216,260.00",0.0049,51.5,5211,1182,8923,347,979,78,61,1,1,155,2.821325648,0,0
A08611,39,"699,750.00",0.0104,78.57,7993,522,8471,3404,1341,34,58,1,1,14,0.393948296,0,0
A09282,39,"1,626,623.00",0.0285,63.79,5393,662,10904,3917,563,125,12,1,1,20,0.143732448,0,2
A09602,51,"4,130,951.00",0.0272,66.5,10686,937,11729,5021,1664,21,0,1,1,4,0.331408086,0,3
A09762,57,"12,557,489.00",0.0226,60,55282,753,9377,3915,1098,389,1240,1,1,220,0.28045977,0,1
A09897,57,"4,839,904.00",0.0927,45.86,4874,822,10353,4931,577,25,26,1,0,6,0.117014804,1,2
A09903,60,"4,627,517.00",0.1102,86.69,4566,544,9394,3518,2509,11,7,1,1,12,0.713189312,0,1
A10213,57,"-5,445,691.00",-0.033,79.58,19310,814,8490,3328,1399,178,868,0,1,179,0.420372596,1,0
A10273,57,"-3,524,732.00",-0.0104,81.1,39778,742,8354,2745,821,251,476,0,1,95,0.299089253,1,0
A10419,51,"3,850,825.00",0.0507,80.56,9053,1077,6217,2402,738,254,1439,1,1,206,0.307243963,0,0
A10440,39,"189,813.00",0.001,70.18,21488,610,8542,3311,1302,116,259,1,1,91,0.393234672,1,0
A10764,51,"11,354,083.00",0.088,76.08,8746,976,13974,5522,2818,150,202,1,1,57,0.510322347,0,3
A11103,51,"-6,071,542.00",-0.0492,54,14762,497,9927,3566,1140,81,95,0,1,92,0.319685923,0,2
A11353,27,"-14,003,342.00",-0.0571,79.05,26003,629,8977,3955,1370,244,449,0,1,136,0.346396966,0,1
A11600,39,"1,033,726.00",0.0111,54.62,9260,499,9754,4335,381,45,97,1,1,8,0.087889273,0,1
A12533,51,"-1,081,589.00",-0.0052,66.4,20904,823,9462,3141,1662,225,368,0,1,138,0.52913085,0,1
A12621,57,"1,446,593.00",0.0146,71.65,9433,675,9200,4147,866,245,186,1,1,20,0.208825657,0,1
A12732,39,"1,842,265.00",0.0316,51.47,5073,803,11565,6820,401,23,11,1,1,7,0.058797654,0,3
A12881,51,"8,937,695.00",0.143,65.12,5914,801,9628,4171,1260,69,59,1,1,42,0.302085831,0,1
A13131,39,"-6,277,168.00",-0.0392,57.7,15538,807,10412,4140,1102,50,60,0,1,20,0.266183575,1,2
A13467,39,"6,725,489.00",0.0725,54.98,9229,545,10687,4303,576,67,12,1,1,3,0.133860098,0,2
A13613,51,"-14,187,875.00",-0.0784,58.44,16000,746,11093,4529,1300,96,129,0,1,49,0.287039081,0,3
A13682,57,"-7,068,189.00",-0.0473,75.81,20047,492,10032,4097,1513,87,45,0,1,49,0.369294606,0,2
A14417,27,"4,397,053.00",0.027,74.62,16561,649,8971,4731,491,128,133,1,1,27,0.103783555,0,1
A14573,57,"-15,387,611.00",-0.0322,76.46,54456,822,8650,3337,1434,445,1498,0,1,395,0.4297273,1,0
A15030,39,"6,268,757.00",0.0381,55.04,14991,655,10577,3776,1034,76,77,1,1,42,0.273834746,0,2
A15196,27,"3,735,738.00",0.0404,48.36,7542,671,12711,4760,664,63,147,1,0,7,0.139495798,0,3
A15852,57,"-16,221,510.00",-0.1009,70.59,19787,751,8336,3440,1166,126,145,0,1,51,0.338953488,1,0
A15929,60,"21,388,840.00",0.0897,78.09,18307,751,12110,5488,790,102,6,1,1,20,0.143950437,0,3
A16226,57,"260,948.00",0.0201,62.82,1529,602,8361,2935,853,15,16,1,1,2,0.290630324,0,0
A16779,39,"8,664,004.00",0.1443,73.36,4602,734,12909,7358,914,12,5,1,1,12,0.124218538,0,3
A17106,39,"-962,286.00",-0.0254,58.66,5820,464,8392,4315,812,23,49,0,1,14,0.188180765,0,0
A17182,51,"-9,505,591.00",-0.065,76.35,15870,544,10067,3730,1088,90,110,0,1,45,0.291689008,0,2
A17606,27,"-2,074,197.00",-0.0312,73.67,8828,489,8976,3830,240,91,53,0,1,5,0.062663185,0,1
A17898,39,"-15,036,881.00",-0.0237,68.32,71958,660,8513,3488,1344,1092,1849,0,1,426,0.385321101,1,0
A17931,39,"-7,938,260.00",-0.0678,78.15,12025,692,11502,5233,1480,22,4,0,1,11,0.282820562,0,3
A17964,27,"-1,849,949.00",-0.0202,69.2,9376,789,8691,3394,1532,78,224,0,1,33,0.451384797,0,0
A18256,60,"17,161,508.00",0.0914,44.61,12211,1231,9920,4312,1496,132,251,1,0,75,0.346938776,0,2
A18259,51,"18,123,932.00",0.0747,58.75,27846,749,8841,3507,1329,210,425,1,1,179,0.378956373,1,0
A18812,39,"3,952,302.00",0.0289,50.99,12385,618,10974,4009,698,168,230,1,1,52,0.174108256,0,2
A19446,51,"-5,374,399.00",-0.0473,68.51,8039,710,10527,4772,198,25,4,0,1,1,0.041492037,0,2
A19579,51,"7,374,201.00",0.0805,76.71,7988,605,13432,4615,867,30,10,1,1,3,0.187865655,1,3
A19855,39,"-2,497,261.00",-0.0154,82.53,20021,665,8036,3781,728,102,203,0,1,21,0.192541656,1,0
A20167,60,"-3,822,509.00",-0.0656,56.05,6926,794,8048,282,585,34,12,0,1,19,2.074468085,0,0
A21778,51,"9,767,414.00",0.0272,84.27,34364,668,9205,3044,1402,310,773,1,1,257,0.460578187,0,1
A21965,57,"5,200,145.00",0.0462,53.19,12367,316,13038,6849,205,91,190,1,1,1,0.029931377,0,3
A22020,51,"-7,162,638.00",-0.0105,67.5,75211,753,9907,4123,972,493,904,0,1,317,0.235750667,1,2
A22066,51,"10,441,990.00",0.0607,82.5,21428,638,9555,4391,1845,189,339,1,1,140,0.420177636,0,1
A22925,39,"1,866,830.00",0.1316,71.76,1307,764,9823,4226,843,92,50,1,1,46,0.199479413,1,1
A23015,27,"-1,267,940.00",-0.0138,62.14,8106,765,10127,4859,1406,66,17,0,1,19,0.289359951,0,2
A23437,27,"-2,225,736.00",-0.016,74.7,15456,833,8177,2731,2354,141,455,0,1,132,0.861955328,0,0
A23513,27,"1,490,788.00",0.0181,74.14,10388,640,8236,2999,828,63,176,1,1,42,0.276092031,0,0
A23727,39,"-20,521,875.00",-0.0462,71.94,49926,739,9428,3356,1471,483,1662,0,1,304,0.438319428,1,1
A23779,57,"-3,051,903.00",-0.0204,45.66,12309,986,11593,6441,756,102,138,0,0,21,0.117373079,0,3
A23786,39,"-221,821.00",-0.006,61.67,5636,587,7746,2499,786,66,41,0,1,37,0.31452581,0,0
A23908,39,"-2,310,311.00",-0.0039,72.15,66870,521,8998,3523,798,426,692,0,1,104,0.226511496,0,1
A24144,27,"10,498,827.00",0.0085,64.72,124287,750,8924,3758,1034,1149,2414,1,1,514,0.275146354,1,0
A24605,27,"-5,808,857.00",-0.0559,73.17,12307,1119,8638,1060,835,56,22,0,1,37,0.787735849,0,0
A24802,57,"6,571,919.00",0.0255,61.32,27205,889,9266,4253,1092,287,362,1,1,111,0.256759934,0,1
A24804,39,"554,040.00",0.0087,61.33,7380,867,11955,3756,1602,74,161,1,1,43,0.426517572,0,3
A25097,27,"33,906,226.00",0.0536,81.91,64541,739,8704,3063,1423,625,3253,1,1,701,0.464577212,0,0
A25380,39,"-2,549,654.00",-0.0282,52.36,8530,703,10165,4280,530,316,256,0,1,22,0.123831776,1,2
A25701,27,"12,024,992.00",0.0283,53.7,43735,582,10795,3690,638,287,804,1,1,150,0.172899729,0,2
A25744,27,"-873,256.00",-0.0067,69.23,15677,609,10205,3980,1526,26,81,0,1,23,0.383417085,0,2
A25914,51,"16,529,392.00",0.1939,62.16,7777,624,10527,3186,968,67,53,1,1,35,0.303829253,1,2
A26254,39,"-652,074.00",-0.0026,65.6,21990,921,10721,3015,1396,115,94,0,1,122,0.463018242,1,2
A26898,57,"15,409,676.00",0.0883,68.92,13245,635,14879,5573,580,84,4,1,1,20,0.10407321,0,3
A27119,57,"-5,565,002.00",-0.0511,65.93,9847,974,11308,3403,2258,34,37,0,1,21,0.663532177,1,3
A27492,39,"-9,471,250.00",-0.0376,74.37,28074,821,9218,2618,1418,183,494,0,1,108,0.541634836,0,1
A28160,39,"9,174,124.00",0.0836,41.34,7675,981,11572,5464,737,69,9,1,0,12,0.13488287,1,3
A28700,51,"8,804,702.00",0.0889,59.6,8593,768,10988,5305,856,55,4,1,1,7,0.16135721,0,2
A28708,57,"72,667,885.00",0.0426,65.37,149633,645,9759,4437,880,1093,1206,1,1,326,0.198332206,0,1
A29052,39,"9,943,847.00",0.0524,58.39,19021,532,9999,3358,853,132,534,1,1,96,0.25402025,0,2
A29177,27,"11,162,195.00",0.0318,65.07,36649,684,9535,3799,1460,315,533,1,1,211,0.384311661,0,1
A29195,27,"-382,374.00",-0.0057,29.6,7300,795,9107,3547,2068,68,132,0,0,46,0.583027911,0,1
A29332,39,"-5,644,544.00",-0.0485,76.62,14403,630,9016,4120,1001,75,40,0,1,22,0.242961165,0,1
A29818,39,"-2,284,768.00",-0.0339,66.41,7086,1194,10481,435,539,241,159,0,1,56,1.23908046,0,2
A29971,39,"-1,204,327.00",-0.3184,61.8,513,611,5385,311,1004,96,180,0,1,33,3.22829582,0,0
A30070,51,"-1,839,603.00",-0.0105,70.73,20927,605,8429,3503,977,298,376,0,1,136,0.278903797,0,0
A30316,51,"13,515,277.00",0.1706,64.31,6443,682,12240,1056,807,16,0,1,1,2,0.764204545,1,3
A30913,57,"54,084.00",0.0009,57.02,6001,707,11206,4567,676,32,9,1,1,17,0.148018393,0,3
A31015,51,"20,814,181.00",0.0799,57.76,20453,771,10400,4327,1073,90,73,1,1,35,0.247977814,0,2
A31344,57,"-2,416,618.00",-0.0164,67.44,13195,611,9489,3253,1503,143,246,0,1,60,0.462035045,0,1
A32235,51,"-7,616,596.00",-0.0297,61.64,28172,752,8105,3040,788,240,600,0,1,163,0.259210526,1,0
A32730,27,"-2,801,194.00",-0.0295,41.3,7213,864,10198,4388,1561,61,17,0,0,27,0.355742935,1,2
A32930,51,"-26,959,791.00",-0.0556,75.14,55841,793,8290,2437,1353,510,1375,0,1,365,0.555190808,1,0
A33146,27,"2,365,299.00",0.0281,76.9,8580,834,9012,2896,1480,43,141,1,1,53,0.511049724,1,1
A33172,39,"6,656,595.00",0.0233,66.67,25818,848,10256,4262,831,250,404,1,1,68,0.194978883,0,2
A33196,57,"15,843,163.00",0.1217,64.64,8346,1074,12140,3827,2067,79,366,1,1,79,0.540109747,0,3
A33458,51,"1,214,908.00",0.0027,62.95,35836,752,10677,4561,1190,339,453,1,1,82,0.260907696,0,2
A34178,57,"7,920,593.00",0.0256,62.11,32937,700,9296,3448,1492,277,265,1,1,155,0.432714617,1,1
A34413,57,"-105,754.00",-0.0003,77.82,35600,736,9528,3875,1067,387,760,0,1,157,0.275354839,0,1
A34443,51,"4,222,255.00",0.0697,59.35,5844,602,11694,4993,600,28,0,1,1,7,0.120168236,0,3
A34484,39,"-7,499,619.00",-0.061,65.32,13587,722,8445,3914,1011,102,157,0,1,29,0.258303526,0,0
A34708,27,"-231,890.00",-0.002,81.38,12487,717,9130,3888,1452,101,130,0,1,66,0.37345679,0,1
A34796,51,"8,639,987.00",0.0644,62.63,10406,673,11968,5482,556,55,13,1,1,4,0.101422838,0,3
A34814,27,"-2,877,706.00",-0.0256,74.4,11773,583,10749,4787,826,31,0,0,1,13,0.172550658,0,2
A35510,27,"7,665,580.00",0.0421,71.23,14192,818,9853,4441,1070,124,192,1,1,58,0.240936726,0,2
A35862,39,"-4,756,731.00",-0.0421,88.49,11203,903,9205,2524,777,72,135,0,1,44,0.307844691,1,1
A36039,39,"-1,832,669.00",-0.0226,75.86,10350,590,9223,4196,516,56,72,0,1,36,0.122974261,0,1
A36517,39,"-9,212,492.00",-0.0545,62.92,22603,644,8324,3568,1530,181,308,0,1,100,0.428811659,1,0
A36859,51,"15,409,831.00",0.119,58.66,6091,1078,12631,5764,610,70,85,1,1,21,0.105829285,0,3
A37594,39,"-1,824,462.00",-0.0081,75.16,28348,541,9516,3794,1295,309,387,0,1,119,0.341328413,0,1
A37598,27,"1,053,418.00",0.0099,96.89,9629,897,9584,2400,1087,86,128,1,1,39,0.452916667,1,1
A38110,57,"-7,813,370.00",-0.06,58.43,13510,643,12317,4996,1252,57,64,0,1,14,0.25060048,0,3
A38167,51,"3,202,786.00",0.0246,46.1,10190,635,12592,5327,394,39,137,1,0,22,0.073962831,0,3
A38185,39,"3,196,883.00",0.0243,69.6,13538,724,9108,3262,443,209,725,1,1,98,0.135806254,0,1
A38301,39,"-488,152.00",-0.0095,58.95,6965,505,7859,3662,882,72,44,0,1,11,0.240851993,0,0
A38596,57,"-323,268.00",-0.0008,80.46,38700,760,9198,3202,2025,303,292,0,1,157,0.632417239,0,1
A38665,60,"10,317,715.00",0.1102,51.89,9420,325,14455,8180,155,91,175,1,1,21,0.018948655,0,3
A39107,27,"-2,662,071.00",-0.007,70.2,46989,698,9194,3932,1288,354,398,0,1,166,0.327568667,1,1
A39151,39,"-2,490,680.00",-0.0214,78.37,15014,560,9095,4006,466,43,5,0,1,0,0.116325512,0,1
A39327,51,"-1,094,793.00",-0.0102,50,10450,833,12196,6034,793,31,60,0,1,23,0.131421942,0,3
A39529,39,"-10,646,847.00",-0.0515,77.2,21724,721,8332,3087,892,139,787,0,1,155,0.288953677,0,0
A39692,60,"4,347,600.00",0.0659,83.05,6965,587,12266,5836,580,22,0,1,1,2,0.099383139,0,3
A39818,39,"-528,246.00",-0.004,64.2,12731,775,11872,5130,1326,58,48,0,1,25,0.258479532,0,3
A39975,39,"7,775,556.00",0.027,68.85,31860,639,9835,3621,1065,148,196,1,1,76,0.294117647,1,2
A40070,57,"4,480,491.00",0.0287,80.2,18461,570,7678,3242,825,148,391,1,1,89,0.254472548,0,0
A40225,39,"8,884,147.00",0.0989,76.72,7060,902,10257,5730,656,50,8,1,1,18,0.114485166,0,2
A40650,39,"-1,719,709.00",-0.0182,63.71,10876,727,8016,3937,933,186,231,0,1,89,0.236982474,0,0
A40874,57,"2,568,905.00",0.0415,70.26,6872,877,9166,3724,2380,62,93,1,1,47,0.639097744,0,1
A41997,39,"-2,998,763.00",-0.043,53.81,6460,762,10644,4606,1648,31,3,0,1,18,0.357794182,0,2
A42036,51,"-36,189,332.00",-0.1576,68.12,17281,601,11951,2875,494,233,776,0,1,86,0.171826087,0,3
A42284,51,"5,485,603.00",0.0587,81.12,7846,654,12780,5860,1115,22,4,1,1,5,0.190273038,0,3
A42388,57,"-26,720,762.00",-0.0427,70.81,71567,683,8885,3214,1385,520,802,0,1,312,0.430927194,1,0
A42910,27,"-11,552,884.00",-0.0392,77.29,25381,700,10927,3789,1563,361,512,0,1,169,0.412509897,0,2
A43014,57,"-10,563,895.00",-0.0235,68.55,43252,889,8710,3151,1183,458,1782,0,1,395,0.375436369,0,0
A43641,51,"6,933,257.00",0.0404,72.96,9849,1005,13219,5219,2031,58,64,1,1,25,0.389155011,1,3
A43717,39,"3,431,968.00",0.0343,55.21,6635,1041,11180,3935,1957,31,24,1,1,20,0.497331639,0,3
A43744,51,"-11,934,471.00",-0.0513,49.91,21459,683,11146,4134,735,110,253,0,0,55,0.177793904,0,3
A44053,57,"-8,634,237.00",-0.1685,85.43,5597,634,10569,5051,231,21,19,0,1,3,0.045733518,0,2
A44499,27,"2,036,551.00",0.0204,76.8,8693,759,8831,3447,806,294,1352,1,1,93,0.233826516,0,0
A45364,51,"1,192,109.00",0.0078,24.54,11292,538,12799,7325,220,52,37,1,0,1,0.03003413,0,3
A45396,39,"5,998,029.00",0.0548,68.01,10934,785,8189,3892,1336,248,309,1,1,91,0.343268243,0,0
A45761,51,"-5,350,286.00",-0.013,61.29,33199,606,11765,4350,281,489,2006,0,1,98,0.064597701,0,3
A45848,57,"-11,031,666.00",-0.0375,64.84,21766,732,11835,5094,1388,176,281,0,1,54,0.272477424,1,3
A46043,57,"5,784,002.00",0.0453,81.78,11455,837,9298,3614,1141,233,198,1,1,93,0.315716657,0,1
A46075,57,"12,993,858.00",0.0779,74.34,16178,756,10565,4165,1321,41,68,1,1,43,0.317166867,1,2
A46189,39,"2,281,214.00",0.0201,60.38,8856,773,10682,3326,668,71,238,1,1,30,0.200841852,0,2
A46666,39,"1,931,301.00",0.0144,65.58,12700,650,10302,4703,670,52,2,1,1,7,0.142462258,0,2
A46707,60,"-2,606,456.00",-0.0225,68.51,8835,687,11300,4501,191,125,98,0,1,7,0.042435014,0,3
A46995,39,"29,958,600.00",0.0381,59.83,67672,726,9689,3642,1201,716,2048,1,1,279,0.329763866,0,1
A47101,27,"-5,573,137.00",-0.0765,64.3,7850,925,9785,3193,2039,42,83,0,1,53,0.638584403,1,1
A47336,27,"7,342,984.00",0.0546,91.2,16345,737,8190,3539,828,121,217,1,1,56,0.233964397,1,0
A47392,27,"-3,092,829.00",-0.0436,53.67,6018,1320,10980,2964,1832,138,219,0,1,46,0.618083671,1,2
A47438,57,"-7,876,555.00",-0.0676,67.59,11775,636,10390,4302,934,33,5,0,1,6,0.217108322,0,2
A47465,39,"1,059,551.00",0.0098,65.47,13703,606,7674,3421,768,140,211,1,1,98,0.224495761,0,0
A47655,27,"2,577,912.00",0.0188,41.64,8785,1009,12993,5421,1715,20,7,1,0,14,0.316362295,0,3
A48017,27,"-1,382,613.00",-0.0222,62.11,6666,923,9019,3675,1220,78,97,0,1,25,0.331972789,0,1
A48354,51,"-377,287.00",-0.0056,72.43,6675,834,9878,4043,1805,26,24,0,1,21,0.446450655,0,2
A48401,27,"1,589,910.00",0.0193,72.12,9714,602,8296,3552,1648,131,330,1,1,113,0.463963964,1,0
A49168,27,"-4,175,829.00",-0.0205,60.36,19103,671,11206,3743,1652,74,124,0,1,42,0.4413572,0,3
A49262,39,"11,141,819.00",0.0732,58.66,9788,949,12563,4048,1226,113,175,1,1,30,0.302865613,0,3
A49534,27,"652,038.00",0.0117,67.26,5615,722,9984,3220,670,98,182,1,1,61,0.208074534,0,2
A50010,39,"-42,796.00",-0.0005,54.47,7869,866,11364,4783,952,49,96,0,1,25,0.199038261,0,3
A50281,27,"1,235,404.00",0.0277,58.64,5719,674,8750,4243,1129,26,4,1,1,9,0.266085317,0,0
A50496,39,"-3,792,862.00",-0.051,53.83,8502,1001,8733,398,236,128,45,0,1,17,0.592964824,1,0
A51059,60,"-362,084.00",-0.0076,,5137,896,10037,4132,1370,14,19,0,0,13,0.331558567,0,2
A51279,60,"9,749,131.00",0.0351,72.7,24436,583,11915,5292,511,130,44,1,1,16,0.096560847,0,3
A51314,57,"8,328,015.00",0.0244,30.62,24442,689,13755,6455,771,241,182,1,0,63,0.119442293,0,3
A51491,51,"-4,400,006.00",-0.0417,76.52,12787,643,7578,2658,1823,88,230,0,1,47,0.685854026,0,0
A51793,27,"103,742.00",0.0011,74.1,11961,678,8291,2740,1538,83,227,1,1,89,0.561313869,1,0
A52095,39,"-1,609,298.00",-0.0165,81.53,11319,847,8252,3518,837,175,432,0,1,38,0.237919272,0,0
A52780,57,"18,718,445.00",0.1156,69.37,14229,727,9588,4098,770,134,181,1,1,39,0.187896535,0,1
A52797,57,"-11,585,928.00",-0.0297,56.25,33964,645,10536,3282,302,624,3219,0,1,172,0.092017063,0,2
A53129,39,"-6,073,778.00",-0.0654,80.96,8855,427,11472,4622,233,52,27,0,1,4,0.050411077,0,3
A53334,51,"479,019.00",0.0045,83.61,13548,498,9425,3156,2121,52,83,1,1,29,0.672053232,0,1
A54247,39,"-4,941,471.00",-0.0582,,5797,651,12988,6528,610,53,54,0,0,19,0.093443627,0,3
A54437,51,"8,229,027.00",0.0626,54.77,11578,790,10405,4033,840,44,5,1,1,12,0.208281676,1,2
A54790,51,"19,763.00",0.0004,75.81,5188,682,9549,3667,1756,19,0,1,1,18,0.478865558,0,1
A54859,51,"-7,545,228.00",-0.1053,68.76,8588,797,8916,2758,1204,78,107,0,1,36,0.436548223,1,0
A55003,27,"3,353,495.00",0.0107,74.26,34706,752,9859,3789,1711,415,1345,1,1,280,0.451570335,0,2
A55129,57,"15,279,768.00",0.1017,60.8,12610,808,9883,4942,665,160,376,1,1,65,0.134560907,0,2
A55185,51,"17,678,098.00",0.0142,72.52,135455,752,8287,3503,884,1309,3846,1,1,641,0.252355124,1,0
A55446,39,"-8,420,117.00",-0.0381,50.67,13873,934,14291,6367,1210,40,15,0,1,6,0.190042406,0,3
A55910,39,"2,543,179.00",0.0076,57.27,28543,746,10839,4422,1168,167,339,1,1,32,0.264133876,0,2
A57266,27,"-1,005,286.00",-0.0144,55.13,7920,700,8959,4243,1413,25,3,0,1,10,0.33301909,0,0
A58483,60,"35,513,990.00",0.0385,62.42,86189,551,10764,4169,594,466,887,1,1,179,0.142480211,0,2
A58588,57,"12,454,516.00",0.0176,72.7,74213,822,8784,3620,1071,477,1031,1,1,271,0.295856354,1,0
A58599,39,"-1,871,291.00",-0.0119,61.8,16241,748,9498,4355,592,98,66,0,1,39,0.135935706,1,1
A59161,27,"10,912,559.00",0.0633,66.8,14980,592,9021,3299,766,167,385,1,1,74,0.232191573,0,1
A59192,27,"831,844.00",0.0168,68.35,5548,661,8578,3942,850,34,35,1,1,21,0.215626585,0,0
A59256,57,"2,016,828.00",0.034,69.47,7083,954,7913,305,741,66,41,1,1,67,2.429508197,0,0
A59962,51,"8,501,427.00",0.1028,81.46,7844,668,8654,3485,879,64,74,1,1,31,0.252223816,0,0
A60023,27,"3,775,023.00",0.0631,10.33,4932,401,12549,6515,331,22,35,1,0,0,0.050805833,0,3
A60310,39,"641,150.00",0.0031,50.6,17224,800,10933,3898,1624,57,145,1,1,39,0.41662391,0,2
A60323,27,"5,933,246.00",0.0765,68.67,6841,675,12595,5807,1644,31,2,1,1,11,0.283106595,0,3
A60499,51,"-6,125,069.00",-0.0162,69.2,29380,785,12734,5255,1589,811,768,0,1,193,0.302378687,0,3
A60506,27,"5,207,595.00",0.0626,58.2,8583,940,8521,3367,1268,95,148,1,1,56,0.376596377,0,0
A60540,39,"4,730,938.00",0.0547,95.93,8605,690,9095,4057,381,70,170,1,1,13,0.093911757,0,1
A60552,27,"-2,411,247.00",-0.024,60.54,12714,957,9228,3131,1135,201,292,0,1,115,0.362503992,0,1
A60743,39,"6,868,348.00",0.0928,70.84,5785,824,10065,3929,650,46,68,1,1,11,0.165436498,0,2
A60892,60,"4,858,147.00",0.0834,77.67,6956,547,9036,2557,931,153,87,1,1,112,0.364098553,0,1
A61297,57,"1,618,463.00",0.0188,79.19,9469,535,9844,3587,1320,38,47,1,1,10,0.367995539,0,2
A61599,60,"9,112,343.00",0.1221,50.44,6544,599,12379,4977,1587,26,10,1,1,9,0.318866787,0,3
A62243,51,"368,650.00",0.0019,61.15,20407,682,10401,4736,888,73,5,1,1,17,0.1875,0,2
